amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
84.47,22,Electronics,0,0,66,3,40,0
541.82,3,Travel,1,0,87,1,64,0
237.01,17,Grocery,0,0,49,1,61,0
164.33,4,Grocery,0,1,72,3,34,0
30.53,15,Food,0,0,79,0,44,0
30.53,13,Clothing,0,0,90,2,46,0
10.77,18,Travel,0,0,48,1,28,0
362.02,13,Electronics,0,0,68,1,40,0
165.43,8,Grocery,0,0,80,0,21,0
221.63,5,Grocery,0,0,59,1,34,0
3.74,16,Grocery,0,0,58,2,28,0
630.64,18,Clothing,0,0,30,4,25,0
321.56,11,Clothing,0,0,73,4,68,0
42.96,3,Travel,0,0,40,2,43,0
36.12,15,Electronics,0,0,37,2,69,0
36.47,10,Clothing,0,0,36,2,66,0
65.3,21,Food,0,0,35,1,25,0
133.91,3,Clothing,0,0,71,2,25,0
101.8,16,Grocery,1,0,84,3,24,0
61.96,7,Electronics,0,0,73,2,68,0
170.35,13,Travel,0,0,76,4,51,0
27.04,1,Clothing,0,0,85,1,49,0
62.19,10,Grocery,0,0,64,2,30,0
82.13,10,Food,0,0,95,2,53,0
109.61,23,Food,0,0,99,2,35,0
276.83,21,Travel,1,0,77,3,30,0
40.09,23,Travel,0,0,85,1,47,0
129.97,5,Clothing,0,0,46,1,18,0
161.55,20,Travel,0,0,62,3,52,0
8.56,20,Grocery,0,0,85,1,20,0
168.36,13,Grocery,0,0,71,2,47,0
33.65,9,Grocery,0,0,51,2,65,0
12.11,7,Clothing,0,0,42,3,42,0
535.26,6,Clothing,0,0,44,7,50,0
606.71,7,Travel,0,0,66,5,33,0
297.42,7,Clothing,0,0,65,2,66,0
65.39,22,Grocery,0,0,96,1,20,0
18.5,1,Electronics,0,0,82,2,64,0
207.5,15,Grocery,0,0,64,1,46,0
104.42,8,Electronics,0,0,99,1,31,0
23.43,12,Travel,0,0,54,1,60,0
123.04,22,Food,0,1,36,3,62,0
6.3,11,Clothing,0,0,86,3,22,0
432.08,21,Clothing,0,1,86,0,61,0
53.9,16,Grocery,0,0,94,2,34,0
195.53,1,Grocery,0,0,39,3,46,0
67.24,12,Electronics,0,0,31,3,38,0
132.14,0,Clothing,0,0,30,2,23,0
142.42,18,Travel,0,1,51,2,41,0
36.79,10,Grocery,0,0,26,1,66,0
628.71,4,Clothing,0,0,30,4,45,0
268.6,0,Food,0,0,85,1,34,0
504.92,19,Electronics,0,0,56,1,59,0
405.39,12,Grocery,0,0,53,0,39,0
163.99,7,Grocery,0,0,89,2,41,0
458.9,5,Travel,0,0,39,1,57,0
16.68,16,Grocery,0,0,34,1,35,0
39.26,11,Clothing,1,1,34,3,45,1
8.33,0,Clothing,0,0,34,2,27,0
70.84,2,Clothing,0,0,61,4,18,0
88.58,13,Food,0,0,56,0,54,0
56.98,7,Food,1,0,60,2,43,0
317.62,10,Grocery,0,0,88,1,67,0
79.42,13,Food,0,0,39,3,43,0
59.36,7,Food,0,0,97,1,50,0
140.83,2,Travel,0,0,40,2,26,0
27.34,6,Food,0,0,70,2,35,0
291.69,18,Electronics,1,1,68,1,22,0
13.95,3,Electronics,0,0,59,1,39,0
780.15,15,Electronics,0,0,75,3,27,0
266.31,12,Grocery,0,0,82,2,31,0
39.88,19,Clothing,0,0,29,1,29,0
1,18,Travel,0,1,62,2,49,0
304.18,4,Grocery,0,0,30,1,56,0
220.88,22,Clothing,0,1,75,1,62,0
235.02,4,Travel,0,1,38,2,53,0
265.54,19,Travel,0,0,72,0,68,0
13.85,23,Travel,0,0,36,4,67,0
79.9,3,Electronics,0,0,76,4,64,0
22.17,1,Electronics,0,0,92,1,32,0
357.94,12,Electronics,0,0,83,3,50,0
175.73,15,Travel,0,1,42,0,33,0
72.33,21,Travel,1,0,77,1,21,0
11.82,1,Electronics,0,0,55,1,68,0
67.05,18,Travel,0,0,59,3,20,0
70.8,16,Electronics,0,0,28,2,43,0
235.42,4,Electronics,0,0,33,0,54,0
182.68,17,Electronics,1,0,39,0,51,0
392.81,22,Clothing,0,0,66,4,59,0
115.03,20,Travel,0,0,83,1,26,0
22.93,17,Grocery,0,0,97,1,61,0
224.84,7,Electronics,0,0,56,0,31,0
257.47,14,Grocery,0,0,69,2,64,0
148.3,12,Clothing,0,0,29,1,50,0
265.3,12,Travel,0,1,55,4,65,0
122.55,15,Electronics,0,0,49,1,55,0
133.14,21,Electronics,0,0,80,2,22,0
100.41,19,Electronics,0,0,25,2,68,0
4.63,12,Grocery,0,0,85,0,64,0
20.55,19,Clothing,0,0,91,3,45,0
5.75,1,Travel,0,0,91,1,50,0
182.11,2,Clothing,0,0,66,3,34,0
67.93,14,Electronics,0,0,83,3,38,0
127.88,22,Clothing,0,0,74,2,24,0
428.63,18,Grocery,0,0,58,2,57,0
51.61,12,Food,0,0,92,4,52,0
95.09,4,Food,0,1,78,6,24,0
253.57,21,Travel,0,1,38,2,25,0
46.76,5,Travel,0,0,56,3,68,0
14.42,13,Clothing,1,0,94,0,61,0
61.59,3,Travel,0,0,32,0,59,0
31.65,21,Grocery,0,0,59,1,48,0
477.89,18,Electronics,0,0,48,3,22,0
297.16,22,Electronics,0,0,27,2,22,0
180.63,6,Clothing,0,0,60,3,41,0
369.27,3,Electronics,1,0,75,1,39,0
293.03,1,Clothing,0,0,81,4,61,0
37.17,6,Travel,1,0,83,4,30,0
401.55,2,Travel,0,0,46,1,39,0
139.52,14,Grocery,0,0,61,0,43,0
296.52,0,Electronics,0,0,99,3,18,0
407.56,1,Grocery,1,0,36,2,34,1
68.89,9,Food,0,0,45,0,36,0
20.99,15,Grocery,1,1,39,2,19,1
46.56,14,Clothing,0,0,36,4,67,0
100.27,23,Clothing,0,0,80,5,69,0
306.69,14,Grocery,0,0,40,5,28,0
354.84,13,Travel,0,0,57,4,47,0
1.26,21,Food,0,1,67,2,63,0
128.68,13,Grocery,0,1,73,4,40,0
97.25,5,Travel,1,0,42,1,32,0
45.21,13,Grocery,0,0,40,2,40,0
22.98,16,Electronics,1,1,64,3,29,0
74.14,17,Clothing,0,0,91,1,44,0
515.36,19,Electronics,0,1,86,1,23,0
70.27,18,Electronics,0,0,51,2,47,0
131.66,16,Food,0,0,38,3,22,0
218.54,15,Travel,0,0,90,0,63,0
81.36,7,Clothing,1,0,51,4,55,0
642.2,6,Electronics,0,0,78,1,52,0
590.76,19,Clothing,1,0,84,3,23,0
52.21,11,Travel,0,0,64,2,31,0
123.78,8,Grocery,0,0,69,1,69,0
64.43,13,Electronics,0,0,92,1,67,0
60.34,19,Travel,0,0,92,2,34,0
6.77,0,Clothing,0,0,87,2,26,0
169.29,9,Travel,0,0,64,3,57,0
125.73,16,Grocery,0,0,65,1,48,0
9.51,16,Travel,0,0,85,5,53,0
58.79,16,Clothing,0,0,89,1,27,0
429.99,3,Electronics,0,0,25,2,44,0
49.29,16,Electronics,0,0,33,7,66,0
28.18,17,Food,0,0,99,4,69,0
121.01,19,Clothing,1,0,39,3,22,0
763.93,22,Food,0,0,83,1,34,0
49.89,1,Food,0,0,90,0,48,0
200.73,7,Grocery,0,0,34,1,31,0
258.1,12,Clothing,0,0,73,2,40,0
48.84,22,Electronics,0,0,35,1,61,0
234.49,21,Clothing,0,0,54,2,46,0
82.53,19,Grocery,1,0,47,3,56,0
180.09,21,Clothing,1,0,46,1,32,0
180.69,14,Clothing,0,1,75,2,64,0
138.13,19,Food,0,0,66,3,29,0
17.03,22,Clothing,0,0,53,0,50,0
324.66,8,Food,0,0,69,1,57,0
69.63,2,Food,0,0,57,0,47,0
37.16,2,Travel,0,0,63,6,39,0
